t2m,mu,sigma
270.95,275.24017,3.1376274
269.65,274.0299,2.861889
272.25,275.51523,2.5845995
271.85,275.2572,2.8372028
268.05,272.30725,3.2523787
269.05,273.08728,3.0205498
269.05,272.46457,3.4395344
269.55,273.32352,3.5021584
270.15,273.00632,3.272831
266.75,271.74814,3.3441944
270.05,273.05896,2.9776762
266.85,271.85657,3.8239574
268.45,271.72165,3.5098495
268.25,272.45694,3.6619308
266.25,270.8673,3.450514
267.95,271.72052,3.6816192
265.65,270.6639,3.8350265
273.55,275.76752,1.9162177
271.25,272.99182,2.667199
271.35,274.90024,2.6817188
267.95,272.20877,3.068826
270.75,274.1072,2.9160013
269.45,272.69345,2.8197303
266.95,271.80206,3.0444543
268.15,271.98492,3.161818
266.45,271.51514,3.0764208
266.45,271.03937,3.205149
268.85,271.1622,2.422653
266.45,270.91687,3.102144
266.75,269.7055,2.2454574
265.35,269.57742,3.1118996
264.95,270.21564,3.5169613
265.45,270.13788,3.5807345
265.35,269.06677,2.5077817
267.05,270.54858,3.182858
266.65,271.03128,2.9579823
268.65,271.83585,2.5296247
259.55,264.6699,3.3349047
267.15,269.3682,2.5946033
262.75,268.09918,3.6579888
264.35,266.88397,2.688559
268.05,270.56815,2.570646
266.45,268.71426,2.7412386
263.15,268.82388,3.8732283
266.85,270.48026,3.466096
264.45,269.67877,3.5786896
266.25,268.3632,3.5890872
262.35,267.39853,3.2935915
265.95,265.07956,3.514505
264.65,267.58575,3.3601942
262.85,267.22116,2.4855719
262.85,266.60266,2.5559726
266.35,270.65518,2.900918
267.85,269.38702,2.1326609
264.75,269.07733,3.119684
261.85,268.1982,3.551361
266.15,270.1502,3.8289504
265.35,269.52252,3.7226684
264.75,269.36392,3.0999582
264.05,266.18372,3.469599
264.25,268.23883,3.3037622
264.95,269.3712,2.1995976
265.55,264.8718,3.5731857
265.15,268.32864,3.3313487
266.85,268.90768,2.4234316
266.65,270.5477,3.2193277
264.95,269.2188,3.5086718
262.45,265.60806,2.921719
267.95,268.75586,2.750666
268.45,267.62387,3.1137195
266.55,269.72244,2.1357713
267.25,269.44223,2.5521133
260.95,265.85104,3.0440662
265.55,269.35388,2.126511
265.95,268.58057,2.8062155
266.95,272.2938,3.6774004
265.05,269.298,2.3029966
266.75,269.434,3.1494737
272.45,273.64365,2.321845
271.65,273.99838,2.6308594
271.45,273.29153,2.3534663
273.25,275.55722,1.9366426
270.85,272.87314,2.2634702
270.45,271.49936,2.2436519
270.35,272.57703,2.484143
269.65,272.42255,2.71914
