t2m,mu,sigma
278.65,279.3497,0.6802557
275.25,276.351,0.7666724
279.75,279.87698,0.48062927
279.15,279.63922,0.60274947
275.05,274.42053,0.8681143
278.15,276.78964,0.85956955
274.55,276.12506,0.89791036
277.65,277.36282,0.9530753
275.05,275.2192,0.88728565
273.25,273.59155,0.8132698
278.75,279.0878,0.6356322
273.65,274.71423,0.92101353
273.85,275.05786,0.9074816
274.45,276.00558,1.0002787
273.35,273.33228,0.82233065
274.65,275.08652,0.78648084
273.25,273.4455,0.8368949
274.75,276.90335,0.90763885
273.65,273.49072,1.088936
276.65,278.4154,0.7525109
273.75,273.99634,0.95312166
275.75,275.44672,0.92002213
275.25,273.99176,0.89653265
273.55,273.16656,0.77824724
274.65,273.41364,0.80054927
273.45,273.54874,0.6826617
273.45,273.47394,0.8796987
272.95,272.6581,0.7259427
273.55,273.58865,0.58863086
271.25,270.2549,1.2381506
272.55,273.78082,0.6473927
273.65,274.18643,0.8630508
274.95,274.66437,0.7519878
269.25,268.76572,1.1129843
273.45,273.41354,0.8043084
273.35,273.37943,0.8503893
272.95,272.90363,0.747464
270.45,271.71017,1.8025892
271.55,270.60107,1.774746
272.75,271.86865,2.8409135
271.55,272.0343,1.4650058
271.35,271.03558,1.5433953
270.15,269.94458,1.5487212
271.95,273.27072,0.872584
273.35,273.49863,0.72678035
273.35,273.7694,0.6408296
270.65,271.22452,1.3940378
269.65,270.00018,0.7820706
268.45,270.4317,1.927934
269.85,269.75024,1.5454786
271.55,268.1233,1.6679189
273.15,273.27145,1.620287
272.45,272.3716,1.1266786
270.35,271.74252,1.4556063
272.15,270.55765,2.3441696
270.45,271.7476,0.9124992
272.95,273.48492,0.71242267
271.15,271.84842,0.90331954
269.05,269.44357,1.0226948
267.45,269.10736,1.6107426
269.05,268.954,1.4630469
269.35,269.5198,1.005247
268.05,267.6064,1.6737317
271.35,271.16412,1.3361927
271.45,270.13675,1.2707444
273.15,272.9058,0.716436
272.95,273.0865,0.78405553
266.05,269.9764,1.9679108
269.45,270.36752,1.6439786
268.45,268.55365,2.1903741
270.15,269.1647,1.2063619
270.35,269.7041,1.0891118
266.95,267.96216,1.3379757
269.75,268.5227,1.3756295
269.85,269.63306,1.6687324
275.45,276.63965,0.91927904
269.15,268.71396,1.0197257
271.45,270.81006,1.7377611
275.15,275.6259,1.2336304
274.15,277.8973,1.1929823
273.55,274.3734,1.2064239
274.75,275.3889,1.1798143
273.05,272.7219,0.90196645
272.65,272.22775,0.8716793
273.15,272.75168,0.9847493
273.65,273.50885,0.9513974
273.35,273.22092,0.6690042
272.65,272.33853,0.7782057
271.65,271.81467,0.6849664
273.45,273.35944,0.85551006
273.15,272.87894,0.6996577
271.35,270.63947,0.8696691
270.75,271.11258,0.76788396
272.75,272.61475,0.71401757
272.25,272.26825,0.7219093
273.15,273.35135,0.70890516
272.75,273.06824,0.63136333
270.95,270.77164,0.720017
269.65,268.61942,1.0211072
273.35,272.98196,0.77099913
272.45,272.0686,0.76212656
273.15,272.92688,0.6956098
270.05,268.96936,1.2883195
270.75,270.90347,0.85094476
268.95,269.73108,0.9167149
268.05,270.7495,0.93094254
269.55,269.34555,1.0693327
273.25,273.1385,0.8712434
272.25,270.477,1.5660423
272.95,271.79492,1.3165644
271.75,270.27347,1.3323812
271.95,269.701,2.0054293
271.65,271.03406,1.6144446
270.35,269.79138,2.0629022
271.85,268.853,2.249202
268.15,270.81952,1.642407
266.55,269.95187,1.6088177
271.25,266.62128,1.5935479
266.55,263.164,2.170799
278.95,279.10986,0.6343466
275.15,275.18555,1.1520094
279.05,279.50113,0.45003173
278.25,278.99707,0.687573
274.95,273.40353,1.4893656
276.95,276.32425,0.6393371
274.55,274.8976,1.2349077
277.55,276.96643,0.6425747
274.65,274.8244,0.86428785
271.45,271.70325,1.4876925
278.05,278.52942,0.6164365
274.15,274.69522,1.0619158
274.25,275.06113,0.7627432
275.45,275.433,0.8185048
271.95,273.2071,1.2709929
274.75,275.69394,0.7351181
273.05,273.4413,1.2639701
278.15,276.65784,0.6255121
274.15,274.63464,1.2117168
278.65,278.572,0.5513319
275.75,273.67966,1.5717856
274.45,274.53128,1.3113978
272.65,272.87894,1.6301247
274.45,272.6305,1.502544
272.35,272.2496,1.5352067
271.65,271.3695,1.5029683
272.45,272.03433,1.5044075
272.85,271.8469,1.3272064
272.95,271.94675,1.3557223
271.65,269.06805,1.3871533
274.55,274.14746,0.62312305
274.95,274.86026,0.7653817
275.85,275.99722,0.6844465
271.55,268.46204,1.3995522
274.85,274.44537,0.87403876
