t2m,mu,sigma
281.05,280.64655,0.52311087
280.55,280.16913,1.0412872
281.35,280.444,0.55048114
281.05,280.7141,0.769361
280.25,279.59885,0.7818023
279.55,279.39807,0.7075753
279.75,279.82584,0.72225773
280.95,280.86493,0.7740575
279.75,280.2819,0.7542131
279.15,278.64453,0.8289246
280.85,280.5197,0.63729
280.05,280.05023,0.6952036
280.15,280.01993,0.6296074
280.85,280.6639,1.0798128
278.65,278.9912,0.60828775
280.65,280.013,0.9161754
279.05,278.92462,0.64232916
279.45,279.50644,0.5441362
278.75,278.60422,0.58611655
280.45,280.51254,0.5298823
279.05,279.3311,0.6057104
280.15,280.15674,0.98301697
279.85,279.3752,0.97230184
278.65,278.71606,0.6084478
279.65,279.0563,0.8073792
277.65,278.50998,0.6782695
278.55,279.14786,0.76816845
275.25,276.21765,0.5736554
276.65,278.08902,0.77038133
271.35,271.1925,0.8829675
276.95,277.41293,0.7986177
280.65,279.21442,0.92829573
280.55,279.40015,1.0237824
271.95,271.61722,0.9031917
279.35,278.73044,0.9740352
276.25,276.78088,0.65805316
275.55,276.1542,0.7066583
266.25,267.70947,1.2812381
274.85,274.76654,1.1465288
271.05,271.74002,2.204829
269.35,270.66785,0.83067507
275.55,275.00723,0.93025327
274.15,275.15424,0.8901086
275.85,276.34775,0.64389324
277.85,278.96606,0.6949999
277.75,277.99353,0.7951951
274.15,274.73593,0.8899005
271.45,271.85046,0.48785794
272.25,270.98343,1.7425902
273.25,273.57135,0.94031125
270.15,270.03198,0.74239385
269.65,269.77798,1.223959
276.05,276.6014,0.73749715
270.45,271.95224,1.3545437
271.25,270.85138,1.7942817
274.45,274.89563,0.56710774
276.05,275.99487,0.73234546
273.95,274.05194,0.5945881
272.95,272.78683,0.64321244
272.95,273.0567,0.8274021
271.45,271.66614,0.9846539
273.65,273.3916,0.7014801
270.75,268.57584,2.7032676
272.75,273.09567,0.7170804
271.95,271.69302,0.92033887
276.45,276.21713,0.70665777
279.05,278.3871,0.88996387
270.05,270.76242,0.882793
273.65,273.7918,1.1043926
272.55,272.83047,1.3296982
271.15,271.49332,0.9320806
272.35,273.11078,0.9217596
268.95,269.9947,0.69557774
270.85,270.40488,0.89300233
273.35,273.59378,0.7861359
280.65,280.52432,0.86664826
271.35,271.78784,0.8415394
273.35,273.61374,1.1571827
278.95,279.0494,0.8210765
278.65,279.7588,0.6091013
277.75,277.82672,0.76750505
279.25,279.18356,0.59049106
277.65,277.54025,0.6592644
275.35,276.17422,1.0197098
277.45,278.2312,0.7450302
278.95,278.7977,0.7047557
277.35,277.3951,0.80509
275.85,275.94464,0.6825559
275.15,275.0437,0.631079
277.65,278.70724,0.7142397
275.85,277.26047,0.67202204
274.45,274.69342,0.89759123
273.85,274.51038,0.7421718
275.65,275.80508,0.61019367
275.15,275.24313,0.6795556
276.45,278.26193,0.6978963
276.15,276.89587,0.70115256
274.25,273.98474,0.6920325
271.55,272.08838,0.6918853
275.95,277.42957,0.79644203
275.05,275.4406,0.61609817
276.05,277.17508,0.63091075
272.35,272.4961,0.99572694
273.05,273.7616,0.58800894
272.05,272.10513,0.50326324
271.95,273.07608,0.6102073
271.85,272.2193,0.8326159
277.35,276.51343,1.0585747
275.05,274.1277,1.5638763
272.65,272.7967,1.6601979
271.05,271.91278,1.0496501
271.55,271.0535,1.745737
271.15,270.76718,1.8734043
269.25,271.22867,1.9192544
270.85,269.12045,2.607607
271.95,270.66824,2.0853937
271.75,270.1997,2.1167247
270.65,264.8647,2.3367665
270.95,263.00183,2.7511964
276.55,278.5626,0.79508275
276.45,276.56326,1.2278625
279.05,279.31476,0.5914825
279.05,278.8853,0.80168825
275.85,275.91455,1.2269152
277.45,277.39572,0.88613355
276.95,277.2556,1.1562095
275.05,276.9852,0.99139035
275.45,275.67148,1.3580319
273.25,274.98126,1.3839308
277.55,278.3876,0.75575775
274.95,275.11356,1.3569584
274.85,275.08105,1.3997148
275.25,275.71954,1.4743053
274.25,275.0834,1.2844079
274.15,274.5462,1.4575316
270.95,274.31735,1.4714954
278.15,279.1531,0.65592414
274.25,276.93527,1.1687806
279.35,279.6634,0.7855158
276.25,276.9939,1.226487
